Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2019","2019","ha","2334000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0111","Wheat","2019","2019","ha","57330","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2019","2019","ha","1974987","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2019","2019","ha","3357","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0111","Wheat","2019","2019","ha","6050953","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5312","Area harvested","0111","Wheat","2019","2019","ha","57563","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2019","2019","ha","10402271","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2019","2019","ha","278340","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","0111","Wheat","2019","2019","ha","669993","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2019","2019","ha","330348","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5312","Area harvested","0111","Wheat","2019","2019","ha","693831","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2019","2019","ha","203760","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","0111","Wheat","2019","2019","ha","1004","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0111","Wheat","2019","2019","ha","197713","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5312","Area harvested","0111","Wheat","2019","2019","ha","68965","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","0111","Wheat","2019","2019","ha","620","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2019","2019","ha","2103578","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","0111","Wheat","2019","2019","ha","1198680","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","0111","Wheat","2019","2019","ha","7645","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","0111","Wheat","2019","2019","ha","374","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2019","2019","ha","9655800","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0111","Wheat","2019","2019","ha","862","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0111","Wheat","2019","2019","ha","222705","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0111","Wheat","2019","2019","ha","23732560","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0111","Wheat","2019","2019","ha","23730000","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","0111","Wheat","2019","2019","ha","2560","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0111","Wheat","2019","2019","ha","2733","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5312","Area harvested","0111","Wheat","2019","2019","ha","143150","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5312","Area harvested","0111","Wheat","2019","2019","ha","10590","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5312","Area harvested","0111","Wheat","2019","2019","ha","839450","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5312","Area harvested","0111","Wheat","2019","2019","ha","75367","I","Imputed value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5312","Area harvested","0111","Wheat","2019","2019","ha","8414","I","Imputed value",""
"QCL","Crops and livestock products","208","Denmark","5312","Area harvested","0111","Wheat","2019","2019","ha","573400","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","0111","Wheat","2019","2019","ha","3085","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","0111","Wheat","2019","2019","ha","1316678","A","Official figure",""
"QCL","Crops and livestock products","232","Eritrea","5312","Area harvested","0111","Wheat","2019","2019","ha","25000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","233","Estonia","5312","Area harvested","0111","Wheat","2019","2019","ha","166980","A","Official figure",""
"QCL","Crops and livestock products","748","Eswatini","5312","Area harvested","0111","Wheat","2019","2019","ha","394","I","Imputed value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","0111","Wheat","2019","2019","ha","1789372","A","Official figure",""
"QCL","Crops and livestock products","246","Finland","5312","Area harvested","0111","Wheat","2019","2019","ha","197600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2019","2019","ha","5244250","A","Official figure",""
"QCL","Crops and livestock products","268","Georgia","5312","Area harvested","0111","Wheat","2019","2019","ha","43100","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0111","Wheat","2019","2019","ha","3118100","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5312","Area harvested","0111","Wheat","2019","2019","ha","350490","A","Official figure",""
"QCL","Crops and livestock products","320","Guatemala","5312","Area harvested","0111","Wheat","2019","2019","ha","76","I","Imputed value",""
"QCL","Crops and livestock products","340","Honduras","5312","Area harvested","0111","Wheat","2019","2019","ha","2348","I","Imputed value",""
"QCL","Crops and livestock products","348","Hungary","5312","Area harvested","0111","Wheat","2019","2019","ha","1015640","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","2019","2019","ha","29318780","A","Official figure",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5312","Area harvested","0111","Wheat","2019","2019","ha","8106631","I","Imputed value",""
"QCL","Crops and livestock products","368","Iraq","5312","Area harvested","0111","Wheat","2019","2019","ha","1543316","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0111","Wheat","2019","2019","ha","63480","A","Official figure",""
"QCL","Crops and livestock products","376","Israel","5312","Area harvested","0111","Wheat","2019","2019","ha","41300","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","0111","Wheat","2019","2019","ha","1754640","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0111","Wheat","2019","2019","ha","211600","A","Official figure",""
"QCL","Crops and livestock products","400","Jordan","5312","Area harvested","0111","Wheat","2019","2019","ha","11018","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5312","Area harvested","0111","Wheat","2019","2019","ha","11296643","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","0111","Wheat","2019","2019","ha","139307","A","Official figure",""
"QCL","Crops and livestock products","414","Kuwait","5312","Area harvested","0111","Wheat","2019","2019","ha","6","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5312","Area harvested","0111","Wheat","2019","2019","ha","239594","A","Official figure",""
"QCL","Crops and livestock products","428","Latvia","5312","Area harvested","0111","Wheat","2019","2019","ha","492700","A","Official figure",""
"QCL","Crops and livestock products","422","Lebanon","5312","Area harvested","0111","Wheat","2019","2019","ha","41000","A","Official figure",""
"QCL","Crops and livestock products","426","Lesotho","5312","Area harvested","0111","Wheat","2019","2019","ha","2292","A","Official figure",""
"QCL","Crops and livestock products","434","Libya","5312","Area harvested","0111","Wheat","2019","2019","ha","184495","I","Imputed value",""
"QCL","Crops and livestock products","440","Lithuania","5312","Area harvested","0111","Wheat","2019","2019","ha","895760","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5312","Area harvested","0111","Wheat","2019","2019","ha","13360","A","Official figure",""
"QCL","Crops and livestock products","450","Madagascar","5312","Area harvested","0111","Wheat","2019","2019","ha","2080","I","Imputed value",""
"QCL","Crops and livestock products","454","Malawi","5312","Area harvested","0111","Wheat","2019","2019","ha","716","A","Official figure",""
"QCL","Crops and livestock products","466","Mali","5312","Area harvested","0111","Wheat","2019","2019","ha","4262","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5312","Area harvested","0111","Wheat","2019","2019","ha","0","A","Official figure",""
"QCL","Crops and livestock products","478","Mauritania","5312","Area harvested","0111","Wheat","2019","2019","ha","3436","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","0111","Wheat","2019","2019","ha","586543","A","Official figure",""
"QCL","Crops and livestock products","496","Mongolia","5312","Area harvested","0111","Wheat","2019","2019","ha","321040","A","Official figure",""
"QCL","Crops and livestock products","499","Montenegro","5312","Area harvested","0111","Wheat","2019","2019","ha","770","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","0111","Wheat","2019","2019","ha","2505987","A","Official figure",""
"QCL","Crops and livestock products","508","Mozambique","5312","Area harvested","0111","Wheat","2019","2019","ha","16000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0111","Wheat","2019","2019","ha","58866","A","Official figure",""
"QCL","Crops and livestock products","516","Namibia","5312","Area harvested","0111","Wheat","2019","2019","ha","1095","I","Imputed value",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2019","2019","ha","703992","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","0111","Wheat","2019","2019","ha","120550","A","Official figure",""
"QCL","Crops and livestock products","540","New Caledonia","5312","Area harvested","0111","Wheat","2019","2019","ha","167","E","Estimated value",""
"QCL","Crops and livestock products","554","New Zealand","5312","Area harvested","0111","Wheat","2019","2019","ha","44971","A","Official figure",""
"QCL","Crops and livestock products","562","Niger","5312","Area harvested","0111","Wheat","2019","2019","ha","1734","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0111","Wheat","2019","2019","ha","51646","A","Official figure",""
"QCL","Crops and livestock products","807","North Macedonia","5312","Area harvested","0111","Wheat","2019","2019","ha","68847","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5312","Area harvested","0111","Wheat","2019","2019","ha","80351","A","Official figure",""
"QCL","Crops and livestock products","512","Oman","5312","Area harvested","0111","Wheat","2019","2019","ha","939","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0111","Wheat","2019","2019","ha","8677730","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","0111","Wheat","2019","2019","ha","15300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0111","Wheat","2019","2019","ha","485000","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0111","Wheat","2019","2019","ha","120634","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5312","Area harvested","0111","Wheat","2019","2019","ha","2511330","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5312","Area harvested","0111","Wheat","2019","2019","ha","28530","A","Official figure",""
"QCL","Crops and livestock products","634","Qatar","5312","Area harvested","0111","Wheat","2019","2019","ha","1","A","Official figure",""
"QCL","Crops and livestock products","410","Republic of Korea","5312","Area harvested","0111","Wheat","2019","2019","ha","3736","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5312","Area harvested","0111","Wheat","2019","2019","ha","352033","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","0111","Wheat","2019","2019","ha","2168370","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5312","Area harvested","0111","Wheat","2019","2019","ha","27558617","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0111","Wheat","2019","2019","ha","13234","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","0111","Wheat","2019","2019","ha","84743","A","Official figure",""
"QCL","Crops and livestock products","688","Serbia","5312","Area harvested","0111","Wheat","2019","2019","ha","577499","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5312","Area harvested","0111","Wheat","2019","2019","ha","406820","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5312","Area harvested","0111","Wheat","2019","2019","ha","26730","A","Official figure",""
"QCL","Crops and livestock products","706","Somalia","5312","Area harvested","0111","Wheat","2019","2019","ha","2645","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","0111","Wheat","2019","2019","ha","540000","A","Official figure",""
"QCL","Crops and livestock products","728","South Sudan","5312","Area harvested","0111","Wheat","2019","2019","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0111","Wheat","2019","2019","ha","1920090","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5312","Area harvested","0111","Wheat","2019","2019","ha","303660","A","Official figure",""
"QCL","Crops and livestock products","752","Sweden","5312","Area harvested","0111","Wheat","2019","2019","ha","469490","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","0111","Wheat","2019","2019","ha","86493","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5312","Area harvested","0111","Wheat","2019","2019","ha","1345607","A","Official figure",""
"QCL","Crops and livestock products","762","Tajikistan","5312","Area harvested","0111","Wheat","2019","2019","ha","263960","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0111","Wheat","2019","2019","ha","1276","I","Imputed value",""
"QCL","Crops and livestock products","788","Tunisia","5312","Area harvested","0111","Wheat","2019","2019","ha","643000","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","0111","Wheat","2019","2019","ha","6831854","A","Official figure",""
"QCL","Crops and livestock products","795","Turkmenistan","5312","Area harvested","0111","Wheat","2019","2019","ha","761306","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","0111","Wheat","2019","2019","ha","14842","I","Imputed value",""
"QCL","Crops and livestock products","804","Ukraine","5312","Area harvested","0111","Wheat","2019","2019","ha","6825300","A","Official figure",""
"QCL","Crops and livestock products","784","United Arab Emirates","5312","Area harvested","0111","Wheat","2019","2019","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","0111","Wheat","2019","2019","ha","1816000","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","0111","Wheat","2019","2019","ha","42177","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","0111","Wheat","2019","2019","ha","15132980","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5312","Area harvested","0111","Wheat","2019","2019","ha","198400","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5312","Area harvested","0111","Wheat","2019","2019","ha","1310630","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5312","Area harvested","0111","Wheat","2019","2019","ha","282","A","Official figure",""
"QCL","Crops and livestock products","887","Yemen","5312","Area harvested","0111","Wheat","2019","2019","ha","57466","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5312","Area harvested","0111","Wheat","2019","2019","ha","22706","A","Official figure",""
"QCL","Crops and livestock products","716","Zimbabwe","5312","Area harvested","0111","Wheat","2019","2019","ha","24186","A","Official figure",""
